ticket_id,category,severity,status,label,title,expected,observed,delta_abs,delta_pct_of_expected,evidence_files,note
FEE-RATE-001,fee_reconciliation,LOW,RESOLVED,aggregate,Realized annualized fee rate deviates from claimed 0.66%,0.0066,0.006473861480252575,0.00012613851974742503,1.9111896931428036,kpi_summary.json;defillama_fees_dailyFees_lazy_summer.json;defillama_protocol_lazy_summer.json,"Formula: observed = fees_derived_90d_annualized / lazy_tvl_window_avg_usd, where fees_derived_90d_annualized = fees_derived_90d * (365 / days_in_window). Window: 2025-12-05 to 2026-03-04 (90 fee days, 90 TVL points)."
PAYOUT-ROUTING-001,payout_routing,LOW,RESOLVED,SIP3.13,Forum treasury transfer vs on-chain routed amount,5953.65368,5953.65368,0.0,0.0,forum_payout_claims.csv;payout_chain_sip3_13_summary.json,On-chain observed = funding_to_distributor + funding_to_merkl_fee_recipient.
PAYOUT-ROUTING-002,payout_routing,MEDIUM,OPEN,SIP3.13.1,Forum treasury transfer vs on-chain USDC routed into LVUSDC path,8961.92494,8966.09888,4.17394,0.046574145933429345,forum_payout_claims.csv;payout_chain_sip3_13_1_summary.json,Observed value uses treasury->LVUSDC USDC transfer in execute transaction.
PAYOUT-ATTRIB-OVERLAP-SIP3.13,payout_routing,MEDIUM,OPEN,SIP3.13,Same-token prior funding overlap limits campaign attribution confidence,0.0,6.0,6.0,,payout_attribution_summary.json;base_treasury_fee_token_outflows.csv,Prior same-token funding creates attribution overlap in Claimed-event windows.
PAYOUT-ATTRIB-CLAIMS-SIP3.13,payout_routing,HIGH,OPEN,SIP3.13,Funded campaign has no observed reward-token claims,5833.985241,0.0,5833.985241,100.0,payout_attribution_summary.json;base_rpc_distributor_claimed_*,Residual unclaimed amount currently 5833.985241 in reward-token units.
