tx_hash,block_number,event,reward_token,reward_raw
0x94e31b02404bc2dcc0776079dccfd1c3fcc0b9fcddc1e3f86d3a97f0d1e2585f,36517084,"RewardAdded(address indexed rewardToken, uint256 reward)",0x194f360D130F2393a5E9F3117A6a1B78aBEa1624,199775000000000000000000
0x94ff6dfe3cda7ac289d4b84455e6dbd1317a6dabb8e0a46c829b28034c04c163,34676531,"RewardAdded(address indexed rewardToken, uint256 reward)",0x194f360D130F2393a5E9F3117A6a1B78aBEa1624,319640000000000000000000
0x92d23885ffaf1a0cb3298ef0215d3fa83cac74b65a8cf3741bbd486c3f274eea,29948775,"RewardAdded(address indexed rewardToken, uint256 reward)",0x194f360D130F2393a5E9F3117A6a1B78aBEa1624,1438380000000000000000000
0x96a3814ce6d9a7b3758863fbcc826f7b7346eda2da5850eb679d082c7eeab095,25649474,"RewardAdded(address indexed rewardToken, uint256 reward)",0x194f360D130F2393a5E9F3117A6a1B78aBEa1624,1438356000000000000000000
