source_file,token_key,token_symbol,token_address,block_number,tx_hash,log_index,user,amount_raw,amount_tokens
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42029941,0x87e935ac57a0b53293e22e707e8a56b4edfbe95dcfcfd486771b7b1a0f1f8b40,680,0x3e59d5b2a7e9e17c5f1550eaf161a4866fb4395b,2403,0.002403
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42033894,0x51a909b88dfe86b371972afcb78fe6a0aba837144ee2218e102094a1bab45193,497,0xb9ed955fc3a389229a1873f631669a40c345f5f4,1047342,1.047342
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42059201,0x3875d9a4683b695a2bc9de1650e8e81e72084c6a5b5ffec7f80f3649f3875f77,756,0xb13433136e9ead0c1e82455441a7a1a6c40b442c,465769044,465.769044
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42059879,0xa4f3a53b2a12fd8af8210cfe8623c46446a10f9d83522057500311ce7d5c20b6,1115,0x6afbdfcfff76368fa0c50d6e70ceafbb1ac21f83,3411508,3.411508
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42060008,0x960f54dd830614ff6b4aa28d89ec685d22ffc951311c9964e59b2e537408db88,284,0x38e32e78f9317da02d473fcae2c5471407ec07c7,338807,0.338807
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42060013,0x67c4151fb21ecae044a185f8d834b58e8aff45e6301941f8fc606f6282aa9de9,696,0x38e32e78f9317da02d473fcae2c5471407ec07c7,0,0.0
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42068608,0x8f7ae63b46f65e7d6b3459ce50e7741003a1b6a52af2241a0e4847c261836de5,1211,0x166247c91235e90b8514605dd73c0157b93d571b,1177211,1.177211
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42084357,0xc9aece863c7874ed8bd9be3f3839fa07e1cd63a3e66b6059bf3bebc842f0d99b,509,0xfa246b498c56d340baae3955eb7c5f751f4d1c43,1801685,1.801685
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42090109,0x04f3d997f3057a516e4eb0287dc1440b28b2d4f99070277d587924916fbccf18,720,0x4a2763570edeeeb78e0174aeae6bedde6f143398,15,1.5e-05
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42092815,0x7453271f863982210f63928beaf3e776e89d63c79f2cf021a9a5b02b9c8daabc,443,0x8e76f534f799b5c8fad227dd4812512543f51358,344697,0.344697
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42099675,0x199497b9bfaf682b50d6799a0f14eaf636ef2eea09e7db46eecc6058a8a86ca7,1569,0x647b41b745cf5e32e244e432902468c4bd89643c,100448,0.100448
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42102747,0x5e5404457509e8061f54e1f4fa66dab12bc2571c3057000d4825771a20a8388a,328,0xdda821f4eae19053aba8cb2982ad2f0ea38b5a8e,3692,0.003692
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42105956,0xb857a43991b79b0238318b49d60c74fb9f1229a161255f07d23b085754810bb0,523,0xf0a391658f07e65779c7370a592675106c931277,0,0.0
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42117811,0x1cb67572f0534fcae6c06dac5b9d9164d16f0b26969b8a6dd30a4bc1e13b934d,900,0xc9b7411fd802bdfa055cfd469d1aecac2ac64394,4892,0.004892
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42119093,0x0e4e19ea1e686cf82488a94f35771be956f67860bfe38c2e2000f25c84259bca,1273,0xf3454c486e6572a77bf101355f7b528dcc595c30,47341324,47.341324
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42119133,0x8edafd6656fc19d8c3ed0fd4d20479f0b6e4baaddb660d789a4422c96ab6fe80,145,0x5abe52fe947a67a3c92953072cc676ae104c5774,12019450,12.01945
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42129922,0x27538b6f44c4a52490f10aa608ebd5b12b9305647b6e5f7d7cb1f7e0bb2e665d,726,0x5fdce8fc1b7cb707e673f0f0a69759127932227f,5895384,5.895384
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42131271,0x435937ea77bfb2e966f495c8ea9f7afd0f8140b244a8317487e9a02c2c380ea4,69,0x5011f043be1c6a9755e5878890200e6c570afb10,1288214,1.288214
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42131338,0xd6a1fea830fdbb0bd1c229c817a4dc3f9b4d3299fb45e1bc2ffc5686f135e510,89,0x5420cfd7449ed4245936a71a761adf77bd7d0071,91304,0.091304
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42133673,0xcb664d21c60cb61011a53407b80a70e3f5bd50f8a23c054486417d2ec5baceae,72,0x9dc552a659d48c4479e2231e56a9f93161483ee8,6638,0.006638
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42142957,0x26a4c8efcdbe3b1757cda4ee47d9386537d6d1f8fd28f308d65c1efc7044edfc,970,0x9a80ec4259baf2d62ba5cdea03049f0cc53244a0,119072,0.119072
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42157076,0x27e6e8fefdd3a3bf9aec682959a8cb5d0fb2629b212a9151dfde521fb9c288a1,179,0xa78c8e485ffe510b60322c95e1e01010edff524e,201835129,201.835129
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42157309,0x5cd6fd6022c3e15d14c7ef2de9493b853ac69bc0d33e24735406ddbc37d4b78f,947,0x11fb0c3f017a208a96d9d0863e1f45f80d034d14,8925746,8.925746
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42157445,0xcdad0525d79a7542c71829771ba124f689c4633f7081f617c3de347a2b52cc01,626,0x583869d54568b681ffc72b4ae7a7920f992a3f44,1522431,1.522431
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42180200,0xf0c69008b0bb74cf309949fccdaaed804acc0c36e47d0e716c779cf766be8d22,880,0xc71c530ce7f94c809d893f7315062bd79dafae98,1342532,1.342532
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42183421,0x49fce1e614915e76f776efec17e88fed8318746845b720ba01b20ad5705b85bb,773,0x476d075e42dd0f85956964e093e3e87a69a53e86,2785881,2.785881
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42183463,0xd02c76f647a24fd89f68e9130492ce81083af7baf87d7939db9207d718825030,665,0x7b384b796293f33be4fa32cf5f4698bfa2f0233c,2445478,2.445478
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42183513,0x2bebf4d7a51d28872c8c5557247ea0850e6163c68e41dfc0f478da19ef651a44,704,0x7f4b21ce195f292cc454d168112534f0b22a2be1,22088515,22.088515
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42183564,0x2a0ba7e8d61b24a1758d3909680626ae5a68e744f45ebb0d57ee73502e6d1168,161,0xce4412645709b2b83b7a7e300cc3b2450ac344b4,5746598,5.746598
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42184610,0xc91a923c979b1fefac359999571a61e94fc09bf74144733e67df0906f9d7baf1,651,0xf2972c65f56867eca2ee41d464b3542a2d866092,93247,0.093247
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42189354,0xceb936171aae19ca557474d1f86a9264061a4e5e43334d6a68f5318962cbf11d,354,0x9833f2afd57c704f220f5c3c6aebb91417b8b072,21683,0.021683
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42198355,0xe45ec0726b90976ee54f05f6cff30920d3433cc2da40429546a58a44d5420e85,277,0xb78e34117091edd1b8363eda976a5edbada2360d,18824,0.018824
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42218219,0x999871f308dfe14c13731f07fb2ad9fcdb219d15a84f4687855452b070458ab2,913,0xc1ba166cc2c249816db1e9d543368d80095ea33f,417,0.000417
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42226581,0x5690c840a6879199fe2bed89a4f82377646e4fc68c2cec1b2228a33ed4edb48e,414,0xeee24744799ea3fdbb92c249df11af3dc17d2c12,12243173,12.243173
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42226620,0xba31dd115a88529d27d99e73e83ced7ce18f462238336a6f37caf3c6cf45c224,559,0xed5a5959a0be4f01b14d67ae091a2c9975d4dd1a,66931,0.066931
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42227483,0xddb61c52db7333b5fff828468ceedb8ad2afb9932eca48e80a7570d86435f07d,793,0xec7bdd940b9ea28ed6fbc4cd5e31511076ca040e,173056899,173.056899
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42227751,0x0b30882df729a724b5abb592d0996e60c34f17d43fc1bedecf8bb6709b7c8e08,573,0xb8fbd9a43cc0ceb3d9ddd58b752979a77e6f0c1d,2757205,2.757205
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42236361,0x5cafb8992d472ed9bf489e0a3101ec31ab1830a2e3863c508c9a27cf220fdb4b,501,0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,10465,0.010465
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42271873,0xb5daeb72aeea91489f86565fce130f56fd6880c715fbbbfdbb4b246d3c65134d,346,0x7b2b985a0316a7eef454c96417d07c7f72567f53,199366,0.199366
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42275402,0xc36c171e3c89147c9488ca75f9c369617adbb10b2cd293de9ccf87cbecccbde2,499,0x3aeee173c7113d818002d587e11c0a70e42b731d,1795045,1.795045
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42281425,0x2a0141f6ed00a8081875f602c42f4321bb21962852e126fbeb2153147ee28413,674,0x746bb7befd31d9052bb8eba7d5dd74c9acf54c6d,3694765,3.694765
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42301705,0x032c86ad2443041fbe542ec79f5f82867c567849f9dbc6590fcd2084d1584b3d,1054,0xfc0faa8718fb0bb316a48beb3aca10306efb5bb8,1708,0.001708
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42309944,0x8dc29db2894bb5b124cb79652830fd1c379dcd3cca47cbd3d4d431df09f98d35,51,0x0b81750655493eee7a4c1f4e7e4fdb9536041720,448398929,448.398929
base_rpc_distributor_claimed_lvusdc_41932733_42533703.json,lvusdc,LVUSDC,0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,42325670,0xc26ece13cfea0e230ce83bf8f375fa3b82ca4b2ff5fbfd69c36354445024532c,657,0x4fd2117def394e7125a75998429771934d3d498b,57688,0.057688
