block_number,tx_hash,log_index,user,amount_raw,amount_tokens
40793061,0xb98c3da42dd3174b8804afd8d97ab5d01192f01fc2995fe91fab63dd5a520b20,256,0x3f888f4e16a08c6b3745ddbade98e24569852fa4,1221474,1.221474
40793074,0x25c27d501b703fc458f77cf5d51738ccfd7dd3af774e230b0971c037c99865f0,661,0x90153be2ac32633fc9a7cc53cdf01d348e875555,13127928,13.127928
40798041,0xec7eed1288d9025df906f24a57a76f02c928ccf48121e74fb23da862a05f515d,771,0x47ffb93d96acda64a7fc8829c6b4d51bbffbd19b,1459068,1.459068
40798894,0x8751a853d6bd1428aba86944393475f40440e8efd800e4b63952bd862bf86d47,902,0xb11ab19ad4ceab01c2b3a085349c824b52132828,25000000,25.0
40799591,0x4c6ecf8e3a7482dfd26949df86de2116c27f8ed23420a99e1c3a53e50b404919,1032,0x76836f5fcf65f2828eabd92fda36ad1211912140,182814,0.182814
40799996,0x125c9ae01a2b6327dea6f81f372aa743e3991e3bf5e29f81071d9696a863c8f7,360,0xff538e3a94ec4539a6ca2d1d1bfb737db7f27afb,389505,0.389505
40799996,0x065e3931242f833dabda042d8adf6881092e275512b25c95bb879cf685543648,364,0xff538e3a94ec4539a6ca2d1d1bfb737db7f27afb,0,0.0
40801066,0xbb696060f30daa64628d0221117eb662050c13f2fc691bc23ad54332a52c6f9d,664,0xd4a14a813751f0f7ebf7b699a05daa2b3fae8c23,0,0.0
40801073,0xac2f9790c6c3210434725085a8170b5cff94c13fcc81dd8a79b49ceba7234b50,1274,0xd4a14a813751f0f7ebf7b699a05daa2b3fae8c23,0,0.0
40801306,0x383b4405b2e5cf4492f80edac4268f17712c05e53bec6f588c899c1f38e7f14a,797,0x09d08d045ffd66fa111580e30221ff7fad8e25e2,922853,0.922853
40805597,0x3818c1c743ce6662660fa28c8b751c1d823087ebf382424f21f40f0be028979b,701,0x9d2e15a757a4ac345d308fff96ceffe2157cda03,1987,0.001987
40806619,0x2c5cdf9469b64f3cc40d3ce5265bcfffde2685519270afee0dbd774c9c9006a5,1004,0x9797114d8c6f93c68a79ce6027c1eb64a34576f2,317,0.000317
40808998,0x4f6ff299d9fc8c356644e0698a32ca1966a00b651111f40f3aaa4a23e309c343,1190,0x01610139f055d560d81e6478a82c102b652eea3e,28737892,28.737892
40809318,0x586ca16c80c5ab2385c301851c7b058bdef6c4abe26ffa1bb0d72ecf4cb6fc69,627,0xffab9013b5c9decfed7d0285bf2698b3ea9db352,0,0.0
40809532,0xdfe493825cd43e940e6777f9ebbcf7e9e1617fdea9b1813ec41c8781e221d14d,204,0x142adf90a90fff4617025bc54333c8bd73bb8a4a,44044,0.044044
40810342,0x86831c7d4306cd96b2ca59b9a52715608a3d1c159fcc5066640b2dbe21f925d5,410,0x9c8311ecae536265ebebf4a560487ab08ec8f384,3673,0.003673
40810935,0x681ceb4a333162f7a0608ab528c29355886daf35f54e523ed7249548da89d539,1558,0x2cd84c5a739c12202fe92b7ce488abf643578a3d,921228,0.921228
40811840,0x82cf51eb47d2096012470f4c1fcb2caf44fb926e42f9323d105f48c710c1660a,685,0xd516c9877578f3d21c4221fbd3cb8d2a17312ebe,311071,0.311071
40812079,0x577c9f59f67d33141fc4e54b88097d8112ab77fb71f974c2362a42244ee82e8c,15,0x87828b2f0c97e03eff9eb5bced20f33d20941a34,11525982,11.525982
40814846,0xaec64c9389bfecf7b95257dd7275133d4cfda8530872225edd4206eff6dd993f,1199,0xf09f2c52011d08b0e53db33dd3947677469a0ac0,134961,0.134961
40815836,0x879f0336dc71ce9301d615e61e406de126c8d1a0b9f6a316c2e6d0391cdd90d6,550,0xf55c6eb20ff6e71ad862e0adfddbb47abed75b78,2754655,2.754655
40816664,0x764a6f2cf082a3286243256481c855421564c983b036e3a6b0f1a73e8992bd2b,409,0x805769aa22219e3a29b301ab5897b903a9ad2c4a,10496460,10.49646
40817924,0xd9a283f89d3a860fdfc8d7da0bc338dbe97a56e8ccffecfe3f79e153ba67c264,381,0x35212344b62f941640395c1e010783247fd0225e,427613,0.427613
40818118,0xe685bd6ce1c74a9a6c5b48f8e66f5d3e341a7edf66bf920d00a1127dde9a16b8,2178,0xc01e9a41004bfe0611d79ff6ccf554bbbb3b044e,4846866,4.846866
40818138,0xcabfe6dda70752f5f9e4f2cd00380d47ec859c17779fdba735812ae90bd22f71,227,0xb85879a3d3841823b9894d7b90aa07fd9be65bce,6887637,6.887637
40822464,0x5e699e67fc99984f49bb431cce4208dbc79485284e212cf3aa21e84f377fbba5,1595,0xbf774de16411d13801e6a01fc57d34bb9ee8fbdd,15,1.5e-05
40822626,0x3736112f52111470fecc224da2f0a7322bb67ef0cbb710b72cfb3dca4aa334d1,727,0xd586361c60c6746fec6ac7866deca50b7afab45f,5,5e-06
40826291,0xeed9b64a55ecd30e371ae21d763083def8f72b3882967e4fc7db351ff43b170f,545,0xc9b7411fd802bdfa055cfd469d1aecac2ac64394,53571,0.053571
